cashtag,id,source,spans
$GILD,709948124849115100,twitter,picked up $CALM target 57 and $GILD target 115;$; has great upside potential
$INVA,719614954500857900,twitter,Highest call to put ratio
$ECA,19034611,stocktwits,I wanted to get in this morning but missed it!
$MSFT,719627739347755000,twitter,Windows 10 is awful
$SPX,719493174167625700,twitter,Iraq Boosts Oil Production to Record
$NVDQ,15530874,stocktwits,watch for momentum above
$IMRS,31132360,stocktwits,"bullish story intact,evenif the market rolls over"
$ILMN,719523999282278400,twitter,piper Jeffries raises pt;$;I remain long
$FTNT,37048093,stocktwits,$FTNT new high..
$CSCO,719661137411747800,twitter,cuts outlook down
$ET,11107935,stocktwits,Accumulating
$FB,710060125063614500,twitter,SELL ;$;FB
$SGYP,38651699,stocktwits,Go elsewhere
$QUNR,719917003033681900,twitter,China's Tourist Bonanza Isn't Going Anywhere
$VRX,709834259687710700,twitter,Biggest Market Losers
$SA,719517217247735800,twitter,In Play Longs
$CROX,24458298,stocktwits,large players are selling
$AMZN,719533807897047000,twitter,over 225 million new Internet users are being added globally every year
$NFLX,719545628985004000,twitter,Pot. cont. Uptrend LONGERTERM
$BIDU,5960481,stocktwits,Clearing back above 50 day;$;next buy / add area when clears this upper trend line on volume
$EWH,9182739,stocktwits,Tensions grow between China and Japan
$GRPN,8067736,stocktwits,$GRPN having a much better day than $FB
$PAY,13277173,stocktwits,Still not breaking out
$TSLA,709382760092160000,twitter,can't get back above $212.20
$TSLA,711188520115818500,twitter,so I can short
$MINE,719536774821867500,twitter,Buy Call!
$GOOGL,719520383699824600,twitter,Pivotal sees 27% upside for Alphabet
$FTNT,37048093,stocktwits,$FTNT new high..
$ARIA,11025416,stocktwits,CITI even reconfirmed it's 'Outperform
$SIRI,719540465188675600,twitter,Lucrative E-Sports Opportunity
$ICLR,710594321481801700,twitter,#oversold
$CTRP,719530610193137700,twitter,breaking out
$UGAZ,31015066,stocktwits,gonna start shorting every 10%
$DUST,719915914120921100,twitter,Sold all:
$TRIP,709398151283793900,twitter,68 Calls BUYING Activity
$AMGN,719545584995029000,twitter,Big year at $AMGN
$INTC,709741154393133000,twitter,overbought
$FB,719528734299197400,twitter,"Sells 109,000 Shares of Facebook"
$RIMM,5386257,stocktwits,Its a great company;$;Needs buyers
$GOOGL,719571596462133200,twitter,looks to have a solid 2016;$;high-teens EPS growth
$HTZ,709777793798656000,twitter,Unusual Call Activity
$SPY,14655289,stocktwits,still wants higher I think.
$GOOG,710863854381563900,twitter,Unusual Call Activity
$YHOO,719571725420269600,twitter,Yahoo's getting lots of attention
