cashtag,id,source,spans,Predicted Sentiment Score
$ctxs,719467784007192600,twitter,citrix systems inc $ctxs position increased by mizuho,0.9642071723937988
$fb,9999828,stocktwits,nice buyable intraday dip right here,0.32068485021591187
$spy,719864087132442600,twitter,gevoãƒâ¢ã¢â€šâ¬ã¢â€žâ¢s alcohol to jet fuel now eligible to be used for commercial flight,0.978213906288147
$msft,17610673,stocktwits,will lose at least $1b;$;may not be profitable for another year or so after that,0.3994469940662384
$gmcr,5554666,stocktwits,waterfall ahead?,0.7004110813140869
$vxx,710863854381563900,twitter,unusual call activity,0.9795203804969788
$dis,719535506980266000,twitter,nice day rally!,0.9713807702064514
$bbry,38563467,stocktwits,$bbry smack down looks legitimate;$;$gs $ms;$;are playing ignorant,0.8094286322593689
$gd,5795737,stocktwits,13f shows new stakes in,0.6664752960205078
$aapl,14756968,stocktwits,$aapl;$;had a big growing success for years,0.9125841856002808
$csco,708416296665399300,twitter,still have positive market bias;$;sharp rally in low-quality stocks points to ongoing market gains,0.977203369140625
$nflx,710060125063614500,twitter,sell ;$;$nflx,0.4853118062019348
$frs,15928669,stocktwits,$frs #restaurants 24.75+9%,0.6065575480461121
$csco,719661137411747800,twitter,cuts outlook down,-0.6497719287872314
$fb,719519136318169100,twitter,cracking lower early;$;$short;$;#correction,-0.3382745087146759
$v,17785769,stocktwits,current holdings via options;$;long:,0.6065575480461121
$stx,719720776027353100,twitter,biggest gainers today large caps,0.974057674407959
$ctxs,710532117164232700,twitter,new macd signal created on,0.6727674007415771
$aapl,12799689,stocktwits,$aapl cleary surpassed their bb,0.17102691531181335
$aapl,8123917,stocktwits,broke descending channel,0.9422838091850281
$goog,709362616578154500,twitter,more complex challenges,0.6065575480461121
$spy,710822084579086300,twitter,markets back in black for 2016,0.965756356716156
$sid,709834259687710700,twitter,biggest market losers,-0.5613110661506653
$nok,12790708,stocktwits,nice pop today;$;told ya we would be green,0.9782500863075256
$sbux,719873426136150000,twitter,deutsche bank downgraded starbucks co,-0.44906163215637207
$ams,719609967565803500,twitter,$ams (ahold) has 5%,0.7248343825340271
$kors,8308437,stocktwits,should rise again 2morrow,0.8881258368492126
$kgc,24504842,stocktwits,looking to add a gold miner and possibly lower pe tech name into close,0.9685809016227722
$ziop,37340646,stocktwits,sucker rallies;$;down trend,0.8498395681381226
$yhoo,719620962094870500,twitter,shares climb,0.703630805015564
$ezpw,7177668,stocktwits,looks good for a few,0.8261687755584717
$aapl,12732850,stocktwits,at pivot area on intraday chart,-0.3479194939136505
$amzn,719811329922625500,twitter,diversifies risk;$;best place in the world,0.9294347167015076
$tsla,711712771675652100,twitter,i think this $tsla bubble might go on for some time,-0.6839312314987183
$yhoo,719634617465081900,twitter,private equity for yahoo bid,0.9631786942481995
$wmt,710211237058093000,twitter,oil to break out;$;adding chevron,0.946022093296051
$aal,719937548668256300,twitter,s anglo american jumps 9%,0.6065575480461121
$brcm,18038613,stocktwits,raises revenue forecast,0.21379296481609344
$spy,9393661,stocktwits,market has a lot of faith in the ecb,0.6503089070320129
$msft,31143613,stocktwits,largest online gaming market,0.6503089070320129
$jnpr,719661137411747800,twitter,cuts outlook down,-0.6497719287872314
$qcor,8746240,stocktwits,a little pullback,0.9481973052024841
$sso,5512185,stocktwits,possible target,0.9517249464988708
$hpj,30741682,stocktwits,short sighted sellers will be sorry soon,0.8633493781089783
$lpth,38028268,stocktwits,$lpth hot,0.6065575480461121
$bmrn,709483088603119600,twitter,likely to strongly benefit from #genetherapy,0.6065575480461121
$hgsi,6783339,stocktwits,good to load up be confident,0.9736819267272949
$pva,38793629,stocktwits,congrats to whoever bought under,0.9394574165344238
$fb,719486879842902000,twitter,$fb has 20 times the advertisers of $twtr,0.06150359287858009
$yhoo,719644552047362000,twitter,weak outlook,-0.7789943218231201
$ewj,9182739,stocktwits,tensions grow between china and japan,0.9303207397460938
$csco,24504842,stocktwits,looking to add a gold miner and possibly lower pe tech name into close,0.9685809016227722
$pbmd,38240250,stocktwits,investment validates company,0.7539193630218506
$fb,719525463878557700,twitter,,0.6065575480461121
$w,719556016749330400,twitter,why is $tsla not available for shorting at this time? same for $w?,-0.33568868041038513
$dtv,32427089,stocktwits,quality stocks with high cash returns,0.9743155241012573
$hlf,11149717,stocktwits,broken stock;$;downside possibility;$;i will initiate a new short position,0.8871510624885559
$aapl,35559365,stocktwits,finally breaking under the 49 m.a;$;no buybacks this week,0.9608989953994751
$eros,711910931937112000,twitter,$eros gets clean bill of health after audit.,0.5920673608779907
$gild,719923191058210800,twitter,shopping spree may continue!,0.8227391839027405
$hznp,710187873492983800,twitter,who won't pay anymore;$;real risk,-0.6975308656692505
$ctrp,709398139195641900,twitter,adding $expe and $pcln to the mix soon;$;i already have $ctrp and $trip,0.9774227142333984
$neik,709765435546185700,twitter,strong buy,0.9715837836265564
$txrh,13286015,stocktwits,eps were up 19% from the same quarter last year,0.7356868982315063
$bac,710863854381563900,twitter,unusual call activity,0.9795203804969788
$co,29679970,stocktwits,4-star analyst scott henry from roth capital reiterated a buy,0.9780864119529724
$wynn,39048791,stocktwits,i'm going in tomorrow evening :-),0.4517722725868225
$fb,719884758520606700,twitter,$fb squeezing from one side;$;,0.8941840529441833
$aapl,719534350509948900,twitter,sees #apple at $150/share in a year (+36% from today),0.6154034733772278
$tsla,719725258480046100,twitter,tomorrow might be a rare buy $tsla day,0.771243691444397
$bmo,6003051,stocktwits,in play tmrw,0.5622400641441345
$spy,27434594,stocktwits,in for 195 calls at .78,0.9328796863555908
$eem,710863854381563900,twitter,unusual call activity,0.9795203804969788
$msft,710130452808536000,twitter,calls were getting hot...today getting paid,0.7942129373550415
$pay,13277173,stocktwits,still not breaking out,0.894357442855835
$fxi,5514207,stocktwits,$fxi +2.93%,0.6065575480461121
$fb,22167633,stocktwits,facebook is trying to get into payments,0.9503015875816345
$csod,25330712,stocktwits,i am excited about all these plays,0.7896914482116699
$fio,6206304,stocktwits,get in on the ground floor of $fio,0.3314836323261261
$bib,711956003999211500,twitter,91 now support,0.8180776238441467
$amzn,710849407844028400,twitter,reat comeback by $amzn;$;great comeback by $amzn,0.7969748377799988
$nxpi,719529978308603900,twitter,new high for 2016,0.957825243473053
$aapl,6763560,stocktwits,still on track for $500,0.6071646809577942
$cat,10103332,stocktwits,if gaps down will probly open at ;$;and get worse these puts were stupid cheap,-0.6537032723426819
$rf,709777793798656000,twitter,unusual call activity,0.9795203804969788
$yhoo,719513471289860100,twitter,daily mail may own yahoo!!,0.8463054895401001
$nflx,710620435121971200,twitter,top stocks in 2015 are ready to lead again in 2016,0.9797906279563904
$hal,29712507,stocktwits,not getting in;$;oil is falling more,-0.2353866845369339
$app,24229806,stocktwits,"competing bids to emerge, and will permit the board to explore other value-enhancing alternatives, all with the objective of maximizing",0.6065575480461121
$gtat,27655637,stocktwits,the resurgence in stock price today might mean that the company may emerge stronger than ever,0.9465293884277344
$sbry,719563779378438100,twitter,supermarket stocks rally as tesco plans to axe non-core uk assets,0.9776554107666016
$fb,719535349379285000,twitter,long;$;buying point,0.9552789330482483
$plug,26218325,stocktwits,bear raid,-0.577180802822113
$spy,719519346557657100,twitter,#trading weak vs. $spy & $qqq,-0.015159702859818935
$msft,21368480,stocktwits,short,-0.287253737449646
$aapl,719500525914492900,twitter,expects strong results,0.9579309821128845
$calx,7737263,stocktwits,$calx +40,0.6065575480461121
$tsla,719532321855025200,twitter,one of the more obvious opportunities this year,0.015558585524559021
$bac,18249994,stocktwits,holding up relatively well compared to the broad market,0.9683769941329956
$hrl,23416197,stocktwits,i would rather be a buyer ugaz at these levels then trying to sell,-0.567852795124054
$vips,26943825,stocktwits,will go up much higher after this drop.,0.6263064742088318
$pypl,719528681605959700,twitter,i dumped $pypl and $prlb,0.6065575480461121
$sppi,7139227,stocktwits,the real deal here...holding,0.9574819803237915
$ino,24458298,stocktwits,large players are selling,-0.17360667884349823
$eurusd,719478441544925200,twitter,yahoo extends bidding deadline as interest grows,0.978505551815033
$fcx,29012822,stocktwits,could offer support revisit to jump on long bus?,0.9796273708343506
$sbux,719523247604285400,twitter,new positive timing signal,0.9498773813247681
$bbry,14695795,stocktwits,will bring good news in time,-0.14768202602863312
$hot,719597174946992100,twitter,shareholders welcome marriott-starwood deal,0.940496563911438
$pypl,711946103189426200,twitter,big winner;$;long,0.6343082189559937
$aapl,7284904,stocktwits,those short are holding their breath hoping for a miracle,0.7419863343238831
$gs,6135022,stocktwits,back in,0.4595656096935272
$spy,719535831040401400,twitter,market seems like it's about to roll over here;$;look out below!,-0.5429939031600952
$veco,13028004,stocktwits,led light bulb prices rise in japan,0.979518473148346
$lnkd,12108658,stocktwits,over 100% upside left from here in next 6 mnths,0.8467337489128113
$spy,6148018,stocktwits,bears take a clear near term advantage,-0.03603439778089523
$fb,17025255,stocktwits,topeka capital markets thinks so;$;is $fb a buy?,0.9742106199264526
$gs,710863854381563900,twitter,unusual call activity,0.9795203804969788
$amrn,9346026,stocktwits,no one want to miss out on any great new;$;patent new nxt wk,0.3762640058994293
$scty,719909604654624800,twitter,most bullish stocks on twitter during this dip,0.9769192934036255
$spy,719575574101016600,twitter,loading $spy and $aapl puts;$;think were toppy,0.3649916648864746
$luv,709745040826966000,twitter,airlines battle for cuba routes $aal $luv $save $jblu,0.9785432815551758
$tsla,719927267867103200,twitter,pullback_time,0.6065575480461121
$bbry,13552568,stocktwits,another 30% on $bbry 16 weekly puts,-0.5530017614364624
$wynn,5466785,stocktwits,red before the bell,-0.3265834152698517
$goog,719945914270556200,twitter,$fb is taking the shine off $aapl and $goog,-0.25626352429389954
$aapl,33296832,stocktwits,rally mode,0.9098409414291382
$ivz,709779449663721500,twitter,short setups looking nice....really nice,-0.24848181009292603
$aapl,5703818,stocktwits,becoming such a disaster;$;better returns elsewhere,0.6065575480461121
$lyb,10041230,stocktwits,entry idea;$;coming out of a narrow intraday range with yesterdays high still above,0.25333818793296814
$aapl,719574026134237200,twitter,$aapl killed former; killing latter,0.17102691531181335
$wts,5679790,stocktwits,best stock: $wts +15%,0.9212886691093445
$tibx,5801762,stocktwits,insider selling probably the reason,-0.06212460622191429
$hmc,13415559,stocktwits,looking for $hmc stock to make new 2013 high,0.3989085853099823
$gluu,22410112,stocktwits,33.0% decreased bullish conversations,0.9383860230445862
$ipg,719665168431456300,twitter,breakout watch,0.9779335260391235
$f,708960045799759900,twitter,insiders are selling,-0.13613352179527283
$stx,719528591168565200,twitter,strong weekly led to buy rec last week;$;daily rs improving,0.956000030040741
$goog,719599233280512000,twitter,trails $msft $orcl $goog $crm $adbe,0.9636715650558472
$cytr,28127317,stocktwits,$cytr af bashing,0.6065575480461121
$amgn,719549796994814000,twitter,out of $amgn one year later;$;i'm tired of waiting here,0.015558585524559021
$wgo&,8056516,stocktwits,was right to reject the offer,-0.3213936686515808
$ung,8168244,stocktwits,bot more $ung puts,0.5973607301712036
$aapl,710580416634171400,twitter,right at the top of thre cloud,-0.06035424396395683
$tza,5350721,stocktwits,buying $tza calls,0.9563723206520081
$ndx,19869247,stocktwits,closed friday with the rs line in new highs,0.9799087047576904
